Warehouse_Region,Postcode,Distance_km,Distance_Category
2xxx (NSW (Rydalmere)),2000,23.5,<30km
2xxx (NSW (Rydalmere)),2001,24.4,<30km
2xxx (NSW (Rydalmere)),2002,22.6,<30km
2xxx (NSW (Rydalmere)),2004,22.6,<30km
2xxx (NSW (Rydalmere)),2006,22.6,<30km
2xxx (NSW (Rydalmere)),2007,22.1,<30km
2xxx (NSW (Rydalmere)),2008,24.0,<30km
2xxx (NSW (Rydalmere)),2009,21.7,<30km
2xxx (NSW (Rydalmere)),2010,24.1,<30km
2xxx (NSW (Rydalmere)),2011,26.1,<30km
2xxx (NSW (Rydalmere)),2012,16.8,<30km
2xxx (NSW (Rydalmere)),2015,24.5,<30km
2xxx (NSW (Rydalmere)),2016,26.2,<30km
2xxx (NSW (Rydalmere)),2017,25.0,<30km
2xxx (NSW (Rydalmere)),2018,25.0,<30km
2xxx (NSW (Rydalmere)),2019,28.8,<30km
2xxx (NSW (Rydalmere)),2020,25.4,<30km
2xxx (NSW (Rydalmere)),2021,27.1,<30km
2xxx (NSW (Rydalmere)),2022,28.4,<30km
2xxx (NSW (Rydalmere)),2023,27.7,<30km
2xxx (NSW (Rydalmere)),2024,29.5,<30km
2xxx (NSW (Rydalmere)),2025,26.7,<30km
2xxx (NSW (Rydalmere)),2026,29.9,<30km
2xxx (NSW (Rydalmere)),2027,27.0,<30km
2xxx (NSW (Rydalmere)),2028,26.2,<30km
2xxx (NSW (Rydalmere)),2029,29.4,<30km
2xxx (NSW (Rydalmere)),2031,28.8,<30km
2xxx (NSW (Rydalmere)),2032,27.4,<30km
2xxx (NSW (Rydalmere)),2033,26.8,<30km
2xxx (NSW (Rydalmere)),2035,29.4,<30km
2xxx (NSW (Rydalmere)),2037,23.4,<30km
2xxx (NSW (Rydalmere)),2038,18.9,<30km
2xxx (NSW (Rydalmere)),2039,19.5,<30km
2xxx (NSW (Rydalmere)),2040,18.7,<30km
2xxx (NSW (Rydalmere)),2041,21.4,<30km
2xxx (NSW (Rydalmere)),2043,24.5,<30km
2xxx (NSW (Rydalmere)),2044,24.1,<30km
2xxx (NSW (Rydalmere)),2045,22.8,<30km
2xxx (NSW (Rydalmere)),2046,17.7,<30km
2xxx (NSW (Rydalmere)),2047,19.1,<30km
2xxx (NSW (Rydalmere)),2048,18.3,<30km
2xxx (NSW (Rydalmere)),2049,17.7,<30km
2xxx (NSW (Rydalmere)),2050,19.8,<30km
2xxx (NSW (Rydalmere)),2052,27.9,<30km
2xxx (NSW (Rydalmere)),2055,26.5,<30km
2xxx (NSW (Rydalmere)),2057,23.7,<30km
2xxx (NSW (Rydalmere)),2058,27.9,<30km
2xxx (NSW (Rydalmere)),2059,26.5,<30km
2xxx (NSW (Rydalmere)),2060,26.8,<30km
2xxx (NSW (Rydalmere)),2061,26.5,<30km
2xxx (NSW (Rydalmere)),2062,29.0,<30km
2xxx (NSW (Rydalmere)),2063,27.9,<30km
2xxx (NSW (Rydalmere)),2064,23.3,<30km
2xxx (NSW (Rydalmere)),2065,25.3,<30km
2xxx (NSW (Rydalmere)),2066,15.7,<30km
2xxx (NSW (Rydalmere)),2067,21.6,<30km
2xxx (NSW (Rydalmere)),2068,26.5,<30km
2xxx (NSW (Rydalmere)),2069,24.5,<30km
2xxx (NSW (Rydalmere)),2070,21.5,<30km
2xxx (NSW (Rydalmere)),2071,21.4,<30km
2xxx (NSW (Rydalmere)),2072,20.7,<30km
2xxx (NSW (Rydalmere)),2073,19.0,<30km
2xxx (NSW (Rydalmere)),2074,18.6,<30km
2xxx (NSW (Rydalmere)),2075,25.9,<30km
2xxx (NSW (Rydalmere)),2076,16.8,<30km
2xxx (NSW (Rydalmere)),2077,22.8,<30km
2xxx (NSW (Rydalmere)),2079,21.8,<30km
2xxx (NSW (Rydalmere)),2080,27.9,<30km
2xxx (NSW (Rydalmere)),2081,29.2,<30km
2xxx (NSW (Rydalmere)),2086,29.5,<30km
2xxx (NSW (Rydalmere)),2087,28.8,<30km
2xxx (NSW (Rydalmere)),2088,29.9,<30km
2xxx (NSW (Rydalmere)),2089,27.7,<30km
2xxx (NSW (Rydalmere)),2090,28.3,<30km
2xxx (NSW (Rydalmere)),2109,11.0,<30km
2xxx (NSW (Rydalmere)),2110,13.3,<30km
2xxx (NSW (Rydalmere)),2111,11.2,<30km
2xxx (NSW (Rydalmere)),2112,7.1,<30km
2xxx (NSW (Rydalmere)),2113,10.4,<30km
2xxx (NSW (Rydalmere)),2114,5.1,<30km
2xxx (NSW (Rydalmere)),2115,2.0,<30km
2xxx (NSW (Rydalmere)),2117,2.8,<30km
2xxx (NSW (Rydalmere)),2118,6.9,<30km
2xxx (NSW (Rydalmere)),2119,9.8,<30km
2xxx (NSW (Rydalmere)),2120,13.5,<30km
2xxx (NSW (Rydalmere)),2121,10.1,<30km
2xxx (NSW (Rydalmere)),2122,8.3,<30km
2xxx (NSW (Rydalmere)),2123,4.7,<30km
2xxx (NSW (Rydalmere)),2124,4.7,<30km
2xxx (NSW (Rydalmere)),2125,9.1,<30km
2xxx (NSW (Rydalmere)),2126,12.7,<30km
2xxx (NSW (Rydalmere)),2127,8.5,<30km
2xxx (NSW (Rydalmere)),2128,4.6,<30km
2xxx (NSW (Rydalmere)),2129,6.5,<30km
2xxx (NSW (Rydalmere)),2130,17.3,<30km
2xxx (NSW (Rydalmere)),2131,17.5,<30km
2xxx (NSW (Rydalmere)),2132,17.9,<30km
2xxx (NSW (Rydalmere)),2133,15.7,<30km
2xxx (NSW (Rydalmere)),2134,13.5,<30km
2xxx (NSW (Rydalmere)),2135,12.6,<30km
2xxx (NSW (Rydalmere)),2136,13.2,<30km
2xxx (NSW (Rydalmere)),2137,13.9,<30km
2xxx (NSW (Rydalmere)),2138,12.0,<30km
2xxx (NSW (Rydalmere)),2139,12.1,<30km
2xxx (NSW (Rydalmere)),2140,10.7,<30km
2xxx (NSW (Rydalmere)),2141,9.3,<30km
2xxx (NSW (Rydalmere)),2142,5.1,<30km
2xxx (NSW (Rydalmere)),2143,12.1,<30km
2xxx (NSW (Rydalmere)),2144,7.2,<30km
2xxx (NSW (Rydalmere)),2145,11.2,<30km
2xxx (NSW (Rydalmere)),2146,10.7,<30km
2xxx (NSW (Rydalmere)),2147,14.1,<30km
2xxx (NSW (Rydalmere)),2148,19.7,<30km
2xxx (NSW (Rydalmere)),2150,5.1,<30km
2xxx (NSW (Rydalmere)),2151,7.6,<30km
2xxx (NSW (Rydalmere)),2152,8.0,<30km
2xxx (NSW (Rydalmere)),2153,11.6,<30km
2xxx (NSW (Rydalmere)),2154,13.3,<30km
2xxx (NSW (Rydalmere)),2155,21.9,<30km
2xxx (NSW (Rydalmere)),2156,22.6,<30km
2xxx (NSW (Rydalmere)),2158,19.1,<30km
2xxx (NSW (Rydalmere)),2159,28.2,<30km
2xxx (NSW (Rydalmere)),2160,9.0,<30km
2xxx (NSW (Rydalmere)),2161,12.5,<30km
2xxx (NSW (Rydalmere)),2162,12.3,<30km
2xxx (NSW (Rydalmere)),2163,14.2,<30km
2xxx (NSW (Rydalmere)),2164,14.9,<30km
2xxx (NSW (Rydalmere)),2165,14.9,<30km
2xxx (NSW (Rydalmere)),2166,18.3,<30km
2xxx (NSW (Rydalmere)),2168,24.2,<30km
